metric,condition,conditional_probability
Heart rate,Miscarriage in second trimester,0.00027259345412252166
Heart rate,Appendicitis,0.00025442055718102023
Heart rate,Pulmonary emphysema (disorder),0.00025442055718102023
Heart rate,Nasal congestion (finding),0.00025442055718102023
Heart rate,Seasonal allergic rhinitis,0.0002362476602395188
Heart rate,Chronic obstructive bronchitis (disorder),0.0002362476602395188
Heart rate,Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder),0.0002362476602395188
Heart rate,Gout,0.0002362476602395188
Heart rate,Acute deep venous thrombosis (disorder),0.0002362476602395188
Heart rate,Fetus with chromosomal abnormality,0.00021807476329801733
Heart rate,Acute pulmonary embolism (disorder),0.00021807476329801733
Heart rate,Transformed migraine (disorder),0.00021807476329801733
Heart rate,Alcoholism,0.00021807476329801733
Heart rate,Acute allergic reaction,0.00021807476329801733
Heart rate,Bullet wound,0.0001999018663565159
Heart rate,Acute respiratory distress syndrome (disorder),0.0001999018663565159
Heart rate,Gunshot wound (disorder),0.0001999018663565159
Heart rate,Atrial fibrillation (disorder),0.0001999018663565159
Heart rate,Tubal pregnancy,0.00018172896941501444
Heart rate,Opioid abuse (disorder),0.00018172896941501444
Heart rate,Pathological fracture due to osteoporosis (disorder),0.00018172896941501444
Heart rate,Septic shock (disorder),0.000163556072473513
Heart rate,Diarrhea symptom (finding),0.000163556072473513
Heart rate,Brain damage - traumatic,0.000163556072473513
Heart rate,Suspected lung cancer (situation),0.000163556072473513
Heart rate,Major depression disorder,0.000163556072473513
Heart rate,Injury of medial collateral ligament of knee,0.00014538317553201155
Heart rate,Body mass index 40+ - severely obese (finding),0.00014538317553201155
Heart rate,Aortic valve regurgitation (disorder),0.00014538317553201155
Heart rate,Familial Alzheimer's disease of early onset (disorder),0.00014538317553201155
Heart rate,Non-small cell carcinoma of lung  TNM stage 1 (disorder),0.00014538317553201155
Heart rate,Mitral valve regurgitation (disorder),0.00014538317553201155
Heart rate,Non-small cell lung cancer (disorder),0.00014538317553201155
Heart rate,Closed fracture of hip,0.00012721027859051011
Heart rate,Proliferative diabetic retinopathy due to type II diabetes mellitus (disorder),0.00012721027859051011
Heart rate,Vomiting symptom (finding),0.00012721027859051011
Heart rate,Nausea (finding),0.00012721027859051011
Heart rate,Malignant tumor of colon,0.00010903738164900867
Heart rate,Cholelithiasis,0.00010903738164900867
Heart rate,History of aortic valve replacement (situation),0.00010903738164900867
Heart rate,Injury of kidney (disorder),0.00010903738164900867
Heart rate,Rupture of patellar tendon,0.00010903738164900867
Heart rate,Primary malignant neoplasm of colon,0.00010903738164900867
Heart rate,Primary fibromyalgia syndrome,0.00010903738164900867
Heart rate,Acute Cholecystitis,0.00010903738164900867
Heart rate,Stroke,0.00010903738164900867
Heart rate,Died in hospice (finding),0.00010903738164900867
Heart rate,Pyelonephritis,9.086448470750722e-05
Heart rate,Pulmonic valve stenosis (disorder),9.086448470750722e-05
Heart rate,Tear of meniscus of knee,9.086448470750722e-05
Heart rate,Contact dermatitis,9.086448470750722e-05
Heart rate,Injury of anterior cruciate ligament,9.086448470750722e-05
Heart rate,Traumatic dislocation of temporomandibular joint (disorder),9.086448470750722e-05
Heart rate,Bleeding from anus,9.086448470750722e-05
Heart rate,Fracture of mandible (disorder),9.086448470750722e-05
Heart rate,Protracted diarrhea,9.086448470750722e-05
Heart rate,Aortic valve stenosis (disorder),9.086448470750722e-05
Heart rate,Traumatic injury of spinal cord and/or vertebral column (disorder),7.269158776600577e-05
Heart rate,Idiopathic atrophic hypothyroidism,7.269158776600577e-05
Heart rate,Pneumonia,7.269158776600577e-05
Heart rate,Third degree burn,7.269158776600577e-05
Heart rate,Cerebral palsy (disorder),7.269158776600577e-05
Heart rate,Kidney transplant failure and rejection (disorder),7.269158776600577e-05
Heart rate,Overlapping malignant neoplasm of colon,7.269158776600577e-05
Heart rate,Passive conjunctival congestion (finding),7.269158776600577e-05
Heart rate,Infectious mediastinitis (disorder),7.269158776600577e-05
Heart rate,Renal dysplasia (disorder),7.269158776600577e-05
Heart rate,Macular edema and retinopathy due to type 2 diabetes mellitus (disorder),7.269158776600577e-05
Heart rate,Metastasis from malignant tumor of prostate (disorder),7.269158776600577e-05
Heart rate,Awaiting transplantation of bone marrow (situation),5.4518690824504334e-05
Heart rate,Fracture of the vertebral column with spinal cord injury,5.4518690824504334e-05
Heart rate,Leukemia  disease (disorder),5.4518690824504334e-05
Heart rate,Gastroesophageal reflux disease (disorder),5.4518690824504334e-05
Heart rate,Spasticity (finding),5.4518690824504334e-05
Heart rate,Rupture of appendix,5.4518690824504334e-05
Heart rate,History of autologous bone marrow transplant (situation),5.4518690824504334e-05
Heart rate,Excessive salivation (disorder),5.4518690824504334e-05
Heart rate,Intellectual disability (disorder),5.4518690824504334e-05
Heart rate,Tongue tie (disorder),5.4518690824504334e-05
Heart rate,Heart failure (disorder),5.4518690824504334e-05
Heart rate,History of artificial joint (situation),3.634579388300289e-05
Heart rate,Acquired coagulation disorder (disorder),3.634579388300289e-05
Heart rate,Hemoptysis (finding),3.634579388300289e-05
Heart rate,Multiple myeloma (disorder),3.634579388300289e-05
Heart rate,Injury of heart (disorder),3.634579388300289e-05
Heart rate,Dribbling from mouth (finding),3.634579388300289e-05
Heart rate,Unable to swallow saliva (finding),3.634579388300289e-05
Heart rate,Complication occuring during pregnancy,3.634579388300289e-05
Heart rate,History of peripheral stem cell transplant (situation),3.634579388300289e-05
Heart rate,Social migrant (finding),3.634579388300289e-05
Heart rate,Poor muscle tone (finding),3.634579388300289e-05
Heart rate,Secondary malignant neoplasm of colon,3.634579388300289e-05
Heart rate,Human immunodeficiency virus infection (disorder),3.634579388300289e-05
Heart rate,Chronic paralysis due to lesion of spinal cord,1.8172896941501443e-05
Heart rate,History of amputation of foot (situation),1.8172896941501443e-05
Heart rate,Traumatic brain injury (disorder),1.8172896941501443e-05
Heart rate,Congenital uterine anomaly,1.8172896941501443e-05
Heart rate,Dislocation of hip joint (disorder),1.8172896941501443e-05
Heart rate,Constipation (finding),1.8172896941501443e-05
Heart rate,Small cell carcinoma of lung (disorder),1.8172896941501443e-05
Heart rate,Asthma,1.8172896941501443e-05
Heart rate,Preinfarction syndrome (disorder),1.8172896941501443e-05
Heart rate,Acquired immune deficiency syndrome (disorder),1.8172896941501443e-05
Heart rate,History of aortic valve repair (situation),1.8172896941501443e-05
Heart rate,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),1.8172896941501443e-05
Heart rate,Rheumatoid arthritis,1.8172896941501443e-05
Heart rate,Major depression  single episode,1.8172896941501443e-05
Heart rate,Fracture of vertebral column without spinal cord injury,1.8172896941501443e-05
Heart rate,Dystonia (disorder),1.8172896941501443e-05
Heart rate,Retention of urine (disorder),1.8172896941501443e-05
Heart rate,At risk for suicide (finding),1.8172896941501443e-05
Heart rate,Posttraumatic stress disorder,1.8172896941501443e-05
Heart rate,Pain (finding),1.8172896941501443e-05
Heart rate,Epilepsy (disorder),1.8172896941501443e-05
Heart rate,Bacterial infectious disease (disorder),1.8172896941501443e-05
Heart rate,Toxoplasma gondii antibody positive (finding),1.8172896941501443e-05
Systolic Blood Pressure,Medication review due (situation),0.18442831927828987
Systolic Blood Pressure,Stress (finding),0.0782506373798784
Systolic Blood Pressure,Gingivitis (disorder),0.07330849186114924
Systolic Blood Pressure,Full-time employment (finding),0.07244557756422829
Systolic Blood Pressure,Part-time employment (finding),0.04467542655422632
Systolic Blood Pressure,Social isolation (finding),0.028280054912727986
Systolic Blood Pressure,Limited social contact (finding),0.02741714061580702
Systolic Blood Pressure,Viral sinusitis (disorder),0.02671111982741714
Systolic Blood Pressure,Not in labor force (finding),0.02384781329672485
Systolic Blood Pressure,Gingival disease (disorder),0.02208276132575015
Systolic Blood Pressure,Victim of intimate partner abuse (finding),0.017532849578348695
Systolic Blood Pressure,Normal pregnancy,0.016826828789958816
Systolic Blood Pressure,Received higher education (finding),0.016669935281427732
Systolic Blood Pressure,Primary dental caries (disorder),0.015846244361639537
Systolic Blood Pressure,Acute viral pharyngitis (disorder),0.015454010590311826
Systolic Blood Pressure,Reports of violence in the environment (finding),0.01455187291625809
Systolic Blood Pressure,Essential hypertension (disorder),0.01419886252206315
Systolic Blood Pressure,Unemployed (finding),0.013335948225142185
Systolic Blood Pressure,Body mass index 30+ - obesity (finding),0.011923906648362424
Systolic Blood Pressure,Acute bronchitis (disorder),0.011570896254167485
Systolic Blood Pressure,Prediabetes,0.010119631300254952
Systolic Blood Pressure,Anemia (disorder),0.00902137674053736
Systolic Blood Pressure,Risk activity involvement (finding),0.008236909197881937
Systolic Blood Pressure,Transport problem (finding),0.006471857226907237
Systolic Blood Pressure,Lack of access to transportation (finding),0.0063541870955089235
Systolic Blood Pressure,Chronic pain (finding),0.005805059815650128
Systolic Blood Pressure,Housing unsatisfactory (finding),0.005295155912924103
Systolic Blood Pressure,Unhealthy alcohol drinking behavior (finding),0.005295155912924103
Systolic Blood Pressure,Infection of tooth (disorder),0.005255932535791332
Systolic Blood Pressure,Has a criminal record (finding),0.00521670915865856
Systolic Blood Pressure,Chronic low back pain (finding),0.005020592272994705
Systolic Blood Pressure,Metabolic syndrome X (disorder),0.004981368895861934
Systolic Blood Pressure,Past pregnancy history of miscarriage (situation),0.004902922141596391
Systolic Blood Pressure,Acute infective cystitis (disorder),0.0048636987644636205
Systolic Blood Pressure,Chronic sinusitis (disorder),0.004589135124534223
Systolic Blood Pressure,Received certificate of high school equivalency (finding),0.004353794861737596
Systolic Blood Pressure,Disorder of kidney due to diabetes mellitus (disorder),0.004236124730339282
Systolic Blood Pressure,Sprain (morphologic abnormality),0.004196901353206511
Systolic Blood Pressure,Chronic kidney disease stage 1 (disorder),0.0037654442047460285
Systolic Blood Pressure,Dental filling lost (finding),0.0036477740733477154
Systolic Blood Pressure,Loss of teeth (disorder),0.003608550696214944
Systolic Blood Pressure,Chronic neck pain (finding),0.003530103941949402
Systolic Blood Pressure,Laceration - injury (disorder),0.0034516571876838597
Systolic Blood Pressure,Loose dental filling (finding),0.0034124338105510884
Systolic Blood Pressure,Severe anxiety (panic) (finding),0.0034124338105510884
Systolic Blood Pressure,Otitis media,0.003333987056285546
Systolic Blood Pressure,Drug overdose,0.003333987056285546
Systolic Blood Pressure,Microalbuminuria due to type 2 diabetes mellitus (disorder),0.003294763679152775
Systolic Blood Pressure,Fracture of bone (disorder),0.0031770935477544618
Systolic Blood Pressure,Misuses drugs (finding),0.0030594234163561483
Systolic Blood Pressure,Sprain of ankle,0.0030594234163561483
Systolic Blood Pressure,Chronic kidney disease stage 2 (disorder),0.002980976662090606
Systolic Blood Pressure,Streptococcal sore throat (disorder),0.0029417532849578347
Systolic Blood Pressure,Leaking dental filling (finding),0.002902529907825064
Systolic Blood Pressure,Fractured dental filling (finding),0.002902529907825064
Systolic Blood Pressure,Abnormal findings diagnostic imaging heart+coronary circulat (finding),0.002706413022161208
Systolic Blood Pressure,Ischemic heart disease (disorder),0.002627966267895666
Systolic Blood Pressure,History of tubal ligation (situation),0.002471072759364581
Systolic Blood Pressure,Proteinuria due to type 2 diabetes mellitus (disorder),0.0024318493822318103
Systolic Blood Pressure,Suspected COVID-19,0.0024318493822318103
Systolic Blood Pressure,Fever (finding),0.0023141792508334967
Systolic Blood Pressure,COVID-19,0.0023141792508334967
Systolic Blood Pressure,Chronic kidney disease stage 3 (disorder),0.0022357324965679545
Systolic Blood Pressure,Concussion injury of brain (disorder),0.0018827221023730142
Systolic Blood Pressure,Refugee (person),0.0018434987252402431
Systolic Blood Pressure,Cough (finding),0.001765051970974701
Systolic Blood Pressure,Only received primary school education (finding),0.001765051970974701
Systolic Blood Pressure,Miscarriage in first trimester,0.0016866052167091587
Systolic Blood Pressure,Sinusitis (disorder),0.0015689350853108452
Systolic Blood Pressure,Diabetes mellitus type 2 (disorder),0.001490488331045303
Systolic Blood Pressure,Loss of taste (finding),0.0014120415767797608
Systolic Blood Pressure,Awaiting transplantation of kidney (situation),0.0014120415767797608
Systolic Blood Pressure,Hypertriglyceridemia (disorder),0.0014120415767797608
Systolic Blood Pressure,Chronic kidney disease stage 4 (disorder),0.0013728181996469895
Systolic Blood Pressure,Polyp of colon,0.0013728181996469895
Systolic Blood Pressure,Sleep disorder (disorder),0.0013335948225142184
Systolic Blood Pressure,Injury of neck (disorder),0.0013335948225142184
Systolic Blood Pressure,Acute bacterial sinusitis (disorder),0.0013335948225142184
Systolic Blood Pressure,Hyperlipidemia,0.0013335948225142184
Systolic Blood Pressure,Whiplash injury to neck,0.0013335948225142184
Systolic Blood Pressure,Served in armed forces (finding),0.0012551480682486762
Systolic Blood Pressure,Concussion with no loss of consciousness,0.0012551480682486762
Systolic Blood Pressure,History of renal transplant (situation),0.0012551480682486762
Systolic Blood Pressure,Recurrent urinary tract infection (disorder),0.0012551480682486762
Systolic Blood Pressure,History of appendectomy,0.0012159246911159051
Systolic Blood Pressure,Alveolitis of jaw (disorder),0.0012159246911159051
Systolic Blood Pressure,Sprain of wrist,0.0011374779368503627
Systolic Blood Pressure,Sterilization requested (situation),0.0010590311825848205
Systolic Blood Pressure,Complete miscarriage (disorder),0.0010590311825848205
Systolic Blood Pressure,History of coronary artery bypass grafting (situation),0.0010198078054520494
Systolic Blood Pressure,Burn injury (morphologic abnormality),0.0010198078054520494
Systolic Blood Pressure,Obstructive sleep apnea syndrome (disorder),0.0010198078054520494
Systolic Blood Pressure,Sepsis (disorder),0.0010198078054520494
Systolic Blood Pressure,Fatigue (finding),0.0009805844283192783
Systolic Blood Pressure,Dependent drug abuse (disorder),0.0009805844283192783
Systolic Blood Pressure,Impacted molars,0.0009805844283192783
Systolic Blood Pressure,Laceration of forearm,0.0009413610511865071
Systolic Blood Pressure,Chronic intractable migraine without aura,0.0009413610511865071
Systolic Blood Pressure,Preeclampsia,0.000902137674053736
Systolic Blood Pressure,Osteoarthritis of knee,0.000902137674053736
Systolic Blood Pressure,Hypoxemia (disorder),0.000902137674053736
Systolic Blood Pressure,Antepartum eclampsia,0.000902137674053736
Systolic Blood Pressure,Respiratory distress (finding),0.000902137674053736
Systolic Blood Pressure,Pneumonia (disorder),0.000902137674053736
Systolic Blood Pressure,Chronic pain,0.0008629142969209649
Systolic Blood Pressure,History of single seizure (situation),0.0008629142969209649
Systolic Blood Pressure,Seizure disorder,0.0008629142969209649
Systolic Blood Pressure,History of myocardial infarction (situation),0.0007844675426554226
Systolic Blood Pressure,Laceration of hand,0.0007452441655226515
Systolic Blood Pressure,Injury of knee (disorder),0.0007452441655226515
Systolic Blood Pressure,Wheezing (finding),0.0007452441655226515
Systolic Blood Pressure,Dyspnea (finding),0.0007452441655226515
Systolic Blood Pressure,End-stage renal disease (disorder),0.0007452441655226515
Systolic Blood Pressure,Sputum finding (finding),0.0007452441655226515
Systolic Blood Pressure,Fracture of clavicle,0.0007452441655226515
Systolic Blood Pressure,Epidermal burn of skin (disorder),0.0007060207883898804
Systolic Blood Pressure,Fibromyalgia (disorder),0.0006667974112571092
Systolic Blood Pressure,Fracture of ankle,0.0006667974112571092
Systolic Blood Pressure,Fracture subluxation of wrist,0.0006275740341243381
Systolic Blood Pressure,Laceration of thigh,0.000588350656991567
Systolic Blood Pressure,Fracture of forearm,0.000588350656991567
Systolic Blood Pressure,Facial laceration,0.000588350656991567
Systolic Blood Pressure,Perennial allergic rhinitis,0.000588350656991567
Systolic Blood Pressure,Concussion with loss of consciousness,0.000588350656991567
Systolic Blood Pressure,Laceration of foot,0.000588350656991567
Systolic Blood Pressure,Myocardial infarction (disorder),0.0005491272798587958
Systolic Blood Pressure,Miscarriage in second trimester,0.0005491272798587958
Systolic Blood Pressure,Osteoarthritis of hip,0.0005491272798587958
Systolic Blood Pressure,Hyperglycemia (disorder),0.0005099039027260247
Systolic Blood Pressure,Childhood asthma,0.0005099039027260247
Systolic Blood Pressure,Child attention deficit disorder,0.0005099039027260247
Systolic Blood Pressure,Osteoporosis (disorder),0.0005099039027260247
Systolic Blood Pressure,Torus palatinus (disorder),0.0005099039027260247
Systolic Blood Pressure,Chill (finding),0.0005099039027260247
Systolic Blood Pressure,Septic shock (disorder),0.00047068052559325356
Systolic Blood Pressure,Acute respiratory failure (disorder),0.00047068052559325356
Systolic Blood Pressure,Sepsis caused by virus (disorder),0.00047068052559325356
Systolic Blood Pressure,Blighted ovum,0.00047068052559325356
Systolic Blood Pressure,Muscle pain (finding),0.00043145714846048246
Systolic Blood Pressure,Joint pain (finding),0.00043145714846048246
Systolic Blood Pressure,Resorption of alveolar process due to dental trauma (disorder),0.00043145714846048246
Systolic Blood Pressure,Epilepsy,0.00043145714846048246
Systolic Blood Pressure,Chronic congestive heart failure (disorder),0.0003922337713277113
Systolic Blood Pressure,Perennial allergic rhinitis with seasonal variation,0.0003922337713277113
Systolic Blood Pressure,Fracture of rib,0.0003922337713277113
Systolic Blood Pressure,Acute ST segment elevation myocardial infarction (disorder),0.0003922337713277113
Systolic Blood Pressure,Acute non-ST segment elevation myocardial infarction (disorder),0.0003922337713277113
Systolic Blood Pressure,Malignant neoplasm of breast (disorder),0.0003922337713277113
Systolic Blood Pressure,Gunshot wound (disorder),0.0003530103941949402
Systolic Blood Pressure,Acute respiratory distress syndrome (disorder),0.0003530103941949402
Systolic Blood Pressure,Homeless (finding),0.0003530103941949402
Systolic Blood Pressure,Bullet wound,0.0003530103941949402
Systolic Blood Pressure,Sleep apnea (disorder),0.00031378701706216906
Systolic Blood Pressure,Second degree burn,0.00031378701706216906
Systolic Blood Pressure,Localized  primary osteoarthritis of the hand,0.00031378701706216906
Systolic Blood Pressure,Injury of tendon of the rotator cuff of shoulder,0.00031378701706216906
Systolic Blood Pressure,Fetus with chromosomal abnormality,0.00031378701706216906
Systolic Blood Pressure,Atopic dermatitis,0.0002745636399293979
Systolic Blood Pressure,Acute allergic reaction,0.0002745636399293979
Systolic Blood Pressure,Recurrent rectal polyp,0.0002745636399293979
Systolic Blood Pressure,Appendicitis,0.0002745636399293979
Systolic Blood Pressure,Transformed migraine (disorder),0.0002745636399293979
Systolic Blood Pressure,Neuropathy due to type 2 diabetes mellitus (disorder),0.0002745636399293979
Systolic Blood Pressure,Injury of medial collateral ligament of knee,0.0002745636399293979
Systolic Blood Pressure,Acute pulmonary embolism (disorder),0.0002745636399293979
Systolic Blood Pressure,Chronic obstructive bronchitis (disorder),0.00023534026279662678
Systolic Blood Pressure,Carcinoma in situ of prostate (disorder),0.00023534026279662678
Systolic Blood Pressure,Injury of kidney (disorder),0.00023534026279662678
Systolic Blood Pressure,Seasonal allergic rhinitis,0.00023534026279662678
Systolic Blood Pressure,Acute deep venous thrombosis (disorder),0.00023534026279662678
